Date,BTC,Nasdaq
2022-02-04,1.0173134951088647,1.1701459312023847
2022-02-05,1.0158434886433911,1.1701459312023847
2022-02-06,1.0397548951967228,1.1701459312023847
2022-02-07,1.074906764072543,1.1569659888889463
2022-02-08,1.0817547093531052,1.1757863074651036
2022-02-09,1.0871794813813382,1.2089696412079594
2022-02-10,1.0681323864511292,1.1713547251534395
2022-02-11,1.0396442071455643,1.1229817416621375
2022-02-12,1.0356198167829938,1.1229817416621375
2022-02-13,1.034463891239166,1.1229817416621375
2022-02-14,1.0440504760778953,1.1245609842828288
2022-02-15,1.092999499177715,1.1622733482794956
2022-02-16,1.0778997649689264,1.160433860928999
2022-02-17,0.9936090396179557,1.1141915583906719
2022-02-18,0.9811264862535302,1.0968252220497618
2022-02-19,0.9833712128671798,1.0968252220497618
2022-02-20,0.9417464494280123,1.0968252220497618
2022-02-21,0.9083610694241214,1.0968252220497618
2022-02-22,0.9381680809306856,1.0819418222423378
2022-02-23,0.9138089215211093,1.043279758907524
2022-02-24,0.9393148706175546,1.0930917729002783
2022-02-25,0.961018959455953,1.1160566623412829
2022-02-26,0.9583337886667018,1.1160566623412829
2022-02-27,0.9239817394562825,1.1160566623412829
2022-02-28,1.0589772061163574,1.12126542356572
2022-03-01,1.0875694379665464,1.0964451540259559
2022-03-02,1.076970600858738,1.1218950713124864
2022-03-03,1.040723776210041,1.0995736311883055
2022-03-04,0.9591328390157623,1.0784407007879988
2022-03-05,0.9656070798965533,1.0784407007879988
2022-03-06,0.9414659307310601,1.0784407007879988
2022-03-07,0.9326537775461099,1.0229316401003272
2022-03-08,0.9492770831684478,1.0173888163577374
2022-03-09,1.0291809653032116,1.068201867788053
2022-03-10,0.9665148949659155,1.0520132716731834
2022-03-11,0.9506976598850386,1.021052629961527
2022-03-12,0.9533820613517945,1.021052629961527
2022-03-13,0.9274253782144276,1.021052629961527
2022-03-14,0.9721597929274078,0.9937300806086462
2022-03-15,0.9640856241537166,1.0378332329433426
2022-03-16,1.00852596063766,1.091177422175677
2022-03-17,1.0037856080726104,1.1085019353874208
2022-03-18,1.0247060332457298,1.14078063406918
2022-03-19,1.0342949260827181,1.14078063406918
2022-03-20,1.0110837103622177,1.14078063406918
2022-03-21,1.0069027603669223,1.1360707186102517
2022-03-22,1.0384347166659702,1.1658611482316819
2022-03-23,1.051584764146343,1.1437217434228228
2022-03-24,1.0778769734253417,1.1777841999905057
2022-03-25,1.0874240336823329,1.1765656821474486
2022-03-26,1.0911684823429,1.1765656821474486
2022-03-27,1.1482756278831114,1.1765656821474486
2022-03-28,1.155846170860378,1.201522086074863
2022-03-29,1.1641605644267883,1.2284944709986723
2022-03-30,1.1542375879509268,1.2105317363252825
2022-03-31,1.1167189567034674,1.185578678250878
2022-04-01,1.1350098916815055,1.1880112179470101
2022-04-02,1.1248498639189939,1.1880112179470101
2022-04-02,1.1248498639189939,1.1880112179470101
2022-04-02,1.1248498639189939,1.1880112179470101
